Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,"4WD, ATV & Off-Road Tours, Nature & Wildlife Tours, Tours, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g49058-d1093487-Reviews-Wild_Horse_Adventure_Tours-Corolla_Outer_Banks_North_Carolina.html,"Feel the ocean breeze and taste the salty air! See the wild horses of the Outer Banks and whip through beach, dune, and forest trails with Hummer Adventure Tours.,Discover some of the most unique sights the Outer Banks has to offer. Our friendly and knowledgeable tour guides take you onto pristine northern beaches that are accessible only with a 4x4 off-road vehicle.,With more terrain, no two tours are ever the same; so if you like history, ecology, adventure, and quick-witted comedy, we have you covered.",#1 of 24 Outdoor Activities in Corolla,Wild Horse Adventure Tours,"4,792 ",,Corolla,NC,610 Currituck Clubhouse Drive,+1 800-460-4136,27927,,"Sun - Sat 8:00 am - 6:00 pm , ",info@wildhorsetour.com,48
,,"Cultural Tours, Historical & Heritage Tours, Private Tours, Walking Tours, City Tours, Tours, More",,https://www.tripadvisor.com/Attraction_Review-g60763-d3707809-Reviews-New_York_Tour1-New_York_City_New_York.html,"NewYorkTour1 Immersive Tours with Great Guides!,Our itineraries are designed to bring you authentic experiences of New York City neighborhoods and major attractions such as Soho, the 9/11 Memorial, Times Square, and much more. We travel by foot, subway and public buses just like native New Yorkers would. You'll see so much more in a shorter amount of time.",#2 of 541 Tours in New York City,New York Tour1,"3,954 ",,New York City,NY,,+1 646-801-8692,10038,,"Sun - Sat 9:00 am - 5:00 pm , ",info@newyorktour1.com,14
,,"Art Museums, Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g60878-d3184389-Reviews-Chihuly_Garden_and_Glass-Seattle_Washington.html,"Located in the heart of Seattle, Chihuly Garden and Glass provides a look at the inspiration and influences that inform the career of artist Dale Chihuly. Through the exhibition’s eight interior galleries, lush outdoor garden and centerpiece Glasshouse visitors will experience a comprehensive look at Chihuly's most significant series of work. With both day and night experiences, and full-service dining in the adjoining Collections Café, this long-term exhibition offers a unique experience rain or shine.",#1 of 408 things to do in Seattle,Chihuly Garden and Glass,"11,761 ",,Seattle,WA,305 Harrison Street,+1 206-753-4940,98109,,"Fri - Sat 10:00 am - 9:00 pm , Sun - Thu 10:00 am - 8:00 pm , ",info@chihulygardenandglass.com,298
,,"Monuments & Statues, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g28970-d103438-Reviews-Lincoln_Memorial_Reflecting_Pool-Washington_DC_District_of_Columbia.html,The majesty of Daniel Chester French's 19-foot high statue of Lincoln is complemented by Jules Guernin's 60-foot high murals depicting the Angel of Truth on one side and Fraternity and Charity on another. ,#1 of 380 things to do in Washington DC,Lincoln Memorial Reflecting Pool,"15,771 ",,Washington DC,DC,2 Lincoln Memorial Cir NW,(202) 426-6841,20037,,,,351
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g60864-d106440-Reviews-The_National_WWII_Museum-New_Orleans_Louisiana.html,"Founded by historian and author, Stephen Ambrose, the Museum tells the story of the American Experience in the war that changed the world - why it was fought, how it was won, and what it means today - so that all generations will understand the price of freedom and be inspired by what they learn. ,Designated by Congress in 2003 as America's National WWII Museum, the campus includes the Louisiana Memorial Pavilion, showcasing the large artifacts of the war and exhibits on D-Day at Normandy, the Home Front and the Pacific; the Solomon Victory Theater, a 4D theater showing the exclusive Tom Hanks production, Beyond All Boundaries; the Stage Door Canteen, where the music and entertainment of the ""Greatest Generation"" comes to life; the John E. Kushner Restoration Pavilion, where staff and volunteers restore artifacts in public view; The American Sector restaurant and Soda Shop - delicious onsite dining options; and the new US Freedom Pavilion: The Boeing Center, where exhibits and interactive experiences paint the picture of a nation mobilized for war.,Museum exhibits and the Museum Store are open seven days a week, 9:00 am - 5:00 pm. Museum exhibits and the Museum Store are open seven days a week, 9:00 am - 5:00 pm. All venues are closed Mardi Gras Day, Thanksgiving Day, Christmas Eve, and Christmas Day.",#1 of 315 things to do in New Orleans,The National WWII Museum,"14,223 ",,New Orleans,LA,945 Magazine Street,+1 504-528-1944,70130,,"Sun - Sat 9:00 am - 5:00 pm , ",info@nationalww2museum.org,445
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,,#5 of 978 things to do in New York City,Manhattan Skyline,"13,612 ",,New York City,NY,,,,,,,130
,More than 3 hours,"Theme Parks, Water & Amusement Parks",Yes,https://www.tripadvisor.com/Attraction_Review-g34515-d258685-Reviews-Universal_s_Islands_of_Adventure-Orlando_Florida.html,"Universal's Islands of Adventure features some of the most innovative rides and attractions ever made on seven spectacularly themed islands: The Wizarding World of Harry Potter, Marvel Super Hero Island, Toon Lagoon, Jurassic Park, The Lost Continent, Seuss Landing and Port of Entry.",#3 of 397 things to do in Orlando,Universal's Islands of Adventure,"33,170 ",,Orlando,FL,6000 Universal Blvd,407-363-8000,32819,,,,1383
,More than 3 hours,"Art Museums, Museums",Yes,https://www.tripadvisor.com/Attraction_Review-g35805-d103239-Reviews-Art_Institute_of_Chicago-Chicago_Illinois.html,"This Classical Renaissance structure, guarded by two bronze lions at its entrance, boasts one of the world's great art collections, including the trademark ""American Gothic.""",#1 of 542 things to do in Chicago,Art Institute of Chicago,"13,877 ",,Chicago,IL,111 S Michigan Ave,312 443 3600,60603-6404,,"Fri - Wed 10:30 am - 5:00 pm , Thu 10:30 am - 8:00 pm , ",,226
,,"Canyons, Geologic Formations, National Parks, Nature & Parks, More",,https://www.tripadvisor.com/Attraction_Review-g143028-d103752-Reviews-Grand_Canyon-Grand_Canyon_National_Park_Arizona.html,"Located in northwest Arizona and arguably the world's most popular (and splendid) natural tourist attraction, the massive Canyon is 277 miles long, 18 miles wide, and at its deepest point, is more than a mile from rim to river. Most of the Canyon lies within Grand Canyon National Park and is managed by the National Park Service. It incorporates three geographically separated areas: the South Rim, the North Rim and the inner canyon.",#1 of 85 things to do in Grand Canyon National Park,Grand Canyon,"10,168 ",,,AZ,,9286387888,,,,,102
,2-3 hours,"Historic Sites, Islands, National Parks, Nature & Wildlife Areas, Nature & Parks, Sights & Landmarks, More",Yes,https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz-San_Francisco_California.html,"Park rangers conduct tours by recounting the prison's thrilling history along with intriguing anecdotes about Al Capone and other legendary figures that made a ""home"" here.",#2 of 500 things to do in San Francisco,Alcatraz,"30,887 ",,San Francisco,CA,Bay Street and Embarcadero,+1 415-981-7625,94133,,,info@alcatrazcruises.com,715
,,"Bridges, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html,"Stretching 4,200 feet and towering as high as a 65-story building, this well-known bridge is the gateway to San Francisco.",#1 of 500 things to do in San Francisco,Golden Gate Bridge,"27,708 ",,San Francisco,CA,"Lincoln Boulevard, near Doyle Drive and Fort Point",415-921-5858,94129,,,bridgecomments@goldengate.org,742
,1-2 hours,"Specialty Museums, Points of Interest & Landmarks, Monuments & Statues, Historic Sites, Sights & Landmarks, Museums, More",No,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,"The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. ,The 9/11 Memorial consists of two massive pools set within the original footprints of the Twin Towers with 30-foot waterfalls cascading down their sides. The nearly 3,000 names of the men, women, and children killed in the attacks are inscribed into bronze parapets surrounding the twin Memorial pools. The 9/11 Memorial is open daily from 7:30 a.m. - 9:00 p.m. and is free to the public. ,The 9/11 Memorial Museum displays monumental artifacts linked to the events of 9/11, while presenting intimate stories of loss, compassion, reckoning and recovery that are central to telling the story of the 2001 and 1993 attacks and the aftermath. It also explores the global impact of 9/11 and its continuing significance. The 9/11 Memorial Museum is open Sun - Thu, 9:00 a.m. - 8:00 p.m., last entry at 6:00 p.m. and Fri and Sat, 9:00 a.m. - 9:00 p.m., last entry at 7:00 p.m. Tickets are required.,Open Daily.",#4 of 978 things to do in New York City,The National 9/11 Memorial & Museum,"42,206 ",,New York City,NY,180 Greenwich St,+1 212-312-8800,10007,,"Sun - Sat 9:00 am - 8:00 pm , ",info@911memorial.org,918
,More than 3 hours,"Theme Parks, Water & Amusement Parks",Yes,https://www.tripadvisor.com/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter-Orlando_Florida.html,"There are many ways to enjoy your Orlando vacation, but there is only one place where vacation becomes adventure: Universal Orlando Resort. It is a unique destination featuring two theme parks, Universal Studios Florida and Universal's Islands of Adventure, three magnificently themed on-site hotels and a nighttime entertainment complex. It's the only Orlando destination where you are not just entertained - you become part of the most exhilarating entertainment ever created. You can soar above Hogwarts with Harry Potter, swing above the streets with Spider-Man, battle aliens alongside Agent J, and help Shrek save Princess Fiona in Shrek 4-D. Now open: the new, heart-warming and hilarious Despicable Me Minion Mayhem ride. And coming soon: Transformers The Ride-3D. Universal Orlando Resort is part of NBCUniversal, a Comcast company.",#1 of 397 things to do in Orlando,The Wizarding World of Harry Potter,"22,527 ",,Orlando,FL,6000 Universal Boulevard,14073638000,32819,,,,722
,2-3 hours,"Points of Interest & Landmarks, Art Museums, Museums, Sights & Landmarks",Yes,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,"At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",#2 of 978 things to do in New York City,The Metropolitan Museum of Art,"33,120 ",,New York City,NY,1000 5th Ave,1 212-535-7710,10028-0198,,"Fri - Sat 10:00 am - 9:00 pm , Sun - Thu 10:00 am - 5:30 pm , ",visitor.services@metmuseum.org,467
,,"Fountains, Theater & Performances, Points of Interest & Landmarks, Sights & Landmarks, Concerts & Shows, More",,https://www.tripadvisor.com/Attraction_Review-g45963-d127003-Reviews-Bellagio_Fountains-Las_Vegas_Nevada.html,These 200-foot-tall fountains at the Bellagio hotel are choreographed to music for performances.,#1 of 91 Sights & Landmarks in Las Vegas,Bellagio Fountains,"52,367 ",,Las Vegas,NV,3600 Las Vegas Blvd S,888-987-6667,89109,,,,1355
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g54171-d2172810-Reviews-Rainbow_Row-Charleston_South_Carolina.html,,#30 of 201 things to do in Charleston,Rainbow Row,446 ,,Charleston,SC,83 - 107 East Bay Street,,29415,,,,86
,,"Geologic Formations, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g60950-d3840982-Reviews-Tumamoc_Hill-Tucson_Arizona.html,,#30 of 256 things to do in Tucson,Tumamoc Hill,60 ,,Tucson,AZ,W Anklam Rd & Tumamoc Hill Rd,,,,,,3
,,"Piers & Boardwalks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g58277-d269374-Reviews-Virginia_Beach_Boardwalk-Virginia_Beach_Virginia.html,"This three-mile concrete promenade is always busy with bicyclists, strollers, diners and people-watchers. During the summer, three oceanfront stages offer nightly entertainment.",#1 of 109 things to do in Virginia Beach,Virginia Beach Boardwalk,"4,088 ",,Virginia Beach,VA,,8045902430,,,,,347
,,,,https://www.tripadvisor.com/Attractions-g60880-Activities-c61-t219-Anchorage_Alaska.html,,,Hiking & Camping Tours in Anchorage,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60880-Activities-c42-t287-Anchorage_Alaska.html,,,Day Trips from Anchorage,,,,,,,,,,,
,,"Caverns & Caves, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g39604-d1887189-Reviews-Louisville_Mega_Cavern-Louisville_Kentucky.html,"While visiting Louisville, Kentucky, you won't want to miss MEGA ZIPS; ""The World's ONLY FULLY Underground Zip Lines & Adventure Tour"" featuring 6 Ziplines and 2 challenge bridges up to 2 hours of adrenaline or MEGA QUEST the ONLY FULLY underground ropes challenge course in the world! Mega QUEST is one of only twenty courses of its kind in the USA. Aerial challenge and ropes courses are the hottest new extreme sport in Europe where thousands of courses are located. For those wanting a lesser thrill, be sure to check out the MEGA TRAM a Historic Tour: Ride and never walk through a part of 17 miles of underground passageways beneath the city of Louisville. Learn about the geology, history, mining techniques, recycling, and green business technology. See where 50,000 people would have been invited to stay during the Cold War Era. The historic tram tour operates mid-January through October. If you are visiting us during the holiday season, be sure to check out Lights Under Louisville: The World's Only FULLY Underground Holiday Light Show. Drive through 1.2 miles of underground passageways beneath the city of Louisville, Kentucky as you see and hear the sights and sounds of the holiday season. Offered seasonally mid-November through December. The cavern is transformed into an underground holiday light show with more than 750 lit characters.",#1 of 153 things to do in Louisville,Louisville Mega Cavern,"5,337 ",,Louisville,KY,1841 Taylor Avenue,+1 877-614-6342,40213,,"Sun - Sat 9:00 am - 4:30 pm , ",jacque.miller@louisvillemegacavern.com,151
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c42-t225-Charleston_South_Carolina.html,,,Cultural Tours in Charleston,,,,,,,,,,,
,,"Natural History Museums, Science Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g49463-d103570-Reviews-North_Carolina_Museum_of_Natural_Sciences-Raleigh_North_Carolina.html,"The Southeast's largest natural history museum features dinosaurs, whale skeletons, live animals, walk-through dioramas, special exhibits, hands-on science education and accessible scientists. IMLS National Medal Finalist, 2014.",#1 of 136 things to do in Raleigh,North Carolina Museum of Natural Sciences,"1,287 ",,Raleigh,NC,11 W Jones St,+1 919-707-9800,27601,,"Sun 12:00 pm - 5:00 pm , Mon - Sat 9:00 am - 5:00 pm , ",,34
,,"Art Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g39604-d106511-Reviews-The_Speed_Art_Museum-Louisville_Kentucky.html,"Features paintings by Rembrandt, Picasso and Rubens, as well as contemporary art exhibits.",#30 of 153 things to do in Louisville,The Speed Art Museum,70 ,,Louisville,KY,2035 South Third Street,502 634 2700,40208,,"Sun 12:00 pm - 5:00 pm , Fri 10:00 am - 9:00 pm , Sat 10:00 am - 5:00 pm , Wed - Thu 10:00 am - 5:00 pm , ",,3
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g54171-d2057185-Reviews-Charleston_Music_Hall-Charleston_South_Carolina.html,,#59 of 201 things to do in Charleston,Charleston Music Hall,51 ,,Charleston,SC,37 John Street,(843) 853-2252,29403,,"Tue - Fri 10:00 am - 6:00 pm , ",info@CharlestonMusicHall.com,2
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c42-t226-Charleston_South_Carolina.html,,,Ghost & Vampire Tours in Charleston,,,,,,,,,,,
,,"Historic Walking Areas, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g54171-d1747943-Reviews-Ghosts_of_The_South-Charleston_South_Carolina.html,"This Tour Company is located in downtown Charleston, SC. And has been in business for approximately eight years. The company offers Ghost Tours nightly of the Historical District.",#57 of 201 things to do in Charleston,Ghosts of The South,118 ,,Charleston,SC,84 North Market St,18433439255,29401,,"Sun - Sat 10:00 am - 10:00 pm , ",haunted29401@aol.com,11
,,"Arenas & Stadiums, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g50207-d561829-Reviews-FirstEnergy_Stadium-Cleveland_Ohio.html,,#31 of 138 things to do in Cleveland,FirstEnergy Stadium,194 ,,Cleveland,OH,100 Alfred Lerner Way,+1 440 824 3361,44114,,,,30
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g33364-d458067-Reviews-John_May_Museum_Center-Colorado_Springs_El_Paso_County_Colorado.html,The two museums in this complex house one of the world's most outstanding collection of invertebrates and a history of America's space program.,#60 of 128 things to do in Colorado Springs,John May Museum Center,14 ,,Colorado Springs,CO,710 Rock Creek Canyon Road,719 576 0450,80926,,"Sun - Sat 9:00 am - 6:00 pm , ",maymuseum2001@yahoo.com,1
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g33364-d2698996-Reviews-Simpich_Showcase-Colorado_Springs_El_Paso_County_Colorado.html,,#59 of 128 things to do in Colorado Springs,Simpich Showcase,12 ,,Colorado Springs,CO,2413 West Colorado Ave.,716 465 2492,80904,,"Sun 1:30 pm - 4:00 pm , Fri 10:00 am - 8:00 pm , Tue - Thu 10:00 am - 5:00 pm , Sat 10:00 am - 5:00 pm , ",,0
,,,,https://www.tripadvisor.com/Attractions-g33045-Activities-c42-t269-Santa_Barbara_California.html,,,Photography Tours in Santa Barbara,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c42-t201-Charleston_South_Carolina.html,,,Brewery Tours in Charleston,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c61-t216-Charleston_South_Carolina.html,,,Eco Tours in Charleston,,,,,,,,,,,
,,Other,,https://www.tripadvisor.com/Attraction_Review-g54171-d144253-Reviews-St_Mary_s_Roman_Catholic_Church-Charleston_South_Carolina.html,,#89 of 201 things to do in Charleston,St. Mary's Roman Catholic Church,26 ,,Charleston,SC,89 Hasell St.,843/722-7696,,,,,1
,,"Lighthouses, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g48503-d3561540-Reviews-Charlotte_Genesee_Lighthouse-Rochester_Finger_Lakes_New_York.html,,#29 of 123 things to do in Rochester,Charlotte-Genesee Lighthouse,45 ,,Rochester,NY,70 Lighthouse St,585-621-6179,14612,,,,3
,,"Observatories & Planetariums, Museums",,https://www.tripadvisor.com/Attraction_Review-g48503-d3372428-Reviews-Strasenburgh_Planetarium-Rochester_Finger_Lakes_New_York.html,,#28 of 123 things to do in Rochester,Strasenburgh Planetarium,50 ,,Rochester,NY,657 East Ave,,,,"Sun 11:00 am - 5:00 pm , Mon - Sat 9:00 am - 5:00 pm , ",,5
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g33364-d6224357-Reviews-Compassion_International_Global_Ministry_Center_Tours-Colorado_Springs_El_Paso_Cou.html,Compassion International is an international ministry that partners with local churches to release children from poverty in Jesus'name. We offer tours of our headquarters facility where you can learn about poverty in third world countries and Compassion's successful 1:1 sponsorship program. You can also go into a room where we've recreated a child development center in Tanzania.,#61 of 128 things to do in Colorado Springs,Compassion International Global Ministry Center Tours,11 ,,Colorado Springs,CO,12290 Voyager Parkway,+(1)(719) 487-7000,80921,,,frontdesk@us.ci.org,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g60880-d3597937-Reviews-Alaska_Veterans_Museum-Anchorage_Alaska.html,,#61 of 171 things to do in Anchorage,Alaska Veterans Museum,16 ,,Anchorage,AK,333 W 4th Ave STE 227,907-677-8802,,,"Mon - Sat 10:00 am - 6:00 pm , ",,1
,,,,https://www.tripadvisor.com/Attractions-g54171-Activities-c61-t221-Charleston_South_Carolina.html,,,Running Tours in Charleston,,,,,,,,,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g54171-d5001697-Reviews-French_Quarter_Art_walk_charleston_sc-Charleston_South_Carolina.html,,#118 of 201 things to do in Charleston,French Quarter Art walk charleston sc,9 ,,Charleston,SC,54 Broad street,,,,,,0
,,"Cultural Events, Events",,https://www.tripadvisor.com/Attraction_Review-g54171-d8820443-Reviews-Spoleto_Festival-Charleston_South_Carolina.html,"Charleston blooms with the sounds of world-class entertainment every spring for 17 days across the city. The schedule attracts a wide range of performing arts talent including dance, opera, classical music, and jazz acts. Shows take place throughout the city in a series of unique venues like outdoor gardens, historic churches and local theaters. Founded by a renowned composer in 1977, the festival was inspired by a similar arts celebration in Spoleto, Italy.",#116 of 201 things to do in Charleston,Spoleto Festival,9 ,,Charleston,SC,135 Church St,,29401,,,,0
,,,,https://www.tripadvisor.com/Attractions-g48503-Activities-c20-t99-Rochester_Finger_Lakes_New_York.html,,,Bars & Clubs in Rochester,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33045-Activities-c59-t182-Santa_Barbara_California.html,,,Taxis & Shuttles in Santa Barbara,,,,,,,,,,,
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g33045-d104444-Reviews-Karpeles_Manuscript_Library-Santa_Barbara_California.html,,#81 of 158 things to do in Santa Barbara,Karpeles Manuscript Library,11 ,,Santa Barbara,CA,21 West Anapamu Street,805-962-5322,93101,,,,2
,,,,https://www.tripadvisor.com/Attractions-g33364-Activities-c40-t129-Colorado_Springs_El_Paso_County_Colorado.html,,,Health/Fitness Clubs & Gyms in Colorado Springs,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33364-Activities-c61-t217-Colorado_Springs_El_Paso_County_Colorado.html,,,Fishing Charters & Tours in Colorado Springs,,,,,,,,,,,
,,"Libraries, Traveler Resources",,https://www.tripadvisor.com/Attraction_Review-g54171-d559988-Reviews-Karpeles_Manuscript_Library-Charleston_South_Carolina.html,,#117 of 201 things to do in Charleston,Karpeles Manuscript Library,9 ,,Charleston,SC,68 Spring St,+1 843 853 4651,29403,,,KMuseumSB@aol.com,0
,,,,https://www.tripadvisor.com/Attractions-g33364-Activities-c40-t260-Colorado_Springs_El_Paso_County_Colorado.html,,,Yoga & Pilates in Colorado Springs,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33364-Activities-c20-t109-Colorado_Springs_El_Paso_County_Colorado.html,,,Dance Clubs & Discos in Colorado Springs,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g33364-Activities-c20-t170-Colorado_Springs_El_Paso_County_Colorado.html,,,Coffeehouses in Colorado Springs,,,,,,,,,,,
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g54171-d1599810-Reviews-Nina_Liu_and_Friends-Charleston_South_Carolina.html,,#149 of 201 things to do in Charleston,Nina Liu and Friends,2 ,,Charleston,SC,24 State Street,,,,,,0
